question_type_id;description
1;Кем работает Роберт Локамп, главный герой романа Эриха Марии Ремарка «Три товарища»?
1;Роман русского писателя, который рассказывает о судьбе молодых людей 30-х годов ХХ века. Главные герои произведения: Саша Панкратов, Юра Шарок, Нина и Варя Ивановы.
1;На создание какого произведения автора сподвигло сожжение книг в нацистской Германии?
1;Как зовут главного героя произведения Дэниела Киза «Цветы для Элджернона», который добровольно принял участие в научном эксперименте?
1;На какой улице селится Воланд вместе со своей свитой, где происходит основное действие романа «Мастер и Маргарита»?
1;Кто из героев романа «Золотой телёнок» представился сыном лейтенанта Шмидта?
1;Эксцентричный поэт-декадент из трилогии романов А. Н. Толстого «Хождение по мукам».
1;В какой пьесе А. П. Чехова главным героем выступает профессор Серебряков?
1;Что Настасья Филипповна, героиня романа Ф. М. Достоевского «Идиот», сделала с деньгами Рогожина?
1;Из какого произведения цитата: «Личность - вот главное. Человеческая личность должна быть крепка, как скала, ибо на ней все строится»?
1;Кем себя считал лорд Генри Уоттон, герой романа Оскара Уайльда «Портрет Дориана Грея»?
1;Кто изменил жизнь бывшего каторжника Жана Вальжана в лучшую сторону в романе Виктора Гюго «Отверженные»?
1;Роман американской писательницы Харпер Ли, главной идеей которого является борьба за права чернокожих.
1;Как зовут возлюбленного Скарлетт из романа «Унесённые ветром», которого она любила на протяжении 14 лет?
1;Маниакально скупой персонаж из произведения Н. В. Гоголя «Мёртвые души», чья фамилия стала нарицательной при обозначении необыкновенной жадности.
1;Как называется вымышленное государство, в котором разворачивается действие повести братьев Стругацких «Трудно быть богом»?
1;Кто послужил донором для собаки Шарика в повести Михаила Афанасиевича Булгакова «Собачье сердце»?
1;В эпоху правления какого монарха разворачивается действие романа Патрика Зюскинда «Парфюмер. История одного убийцы»?
1;На каком языке Владимир Набоков написал свой роман «Лолита»?
1;В каком произведении Артура Конана Дойла о Шерлоке Холмсе появляется профессор Мориарти?
